url,img,discription,price
https://www.alibaba.com/product-detail/Newest-3-Pieces-Anti-Slip-Custom_1601796460979.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H6bdfd9621e944283a9a8b008649fc4ddu.jpg_300x300.jpg,Newest 3 Pieces Anti Slip Custom Fit 3.5mm Thick 5D Car Floor Mat For Chevrolet Spark 2023 LHD Floor Liners,"PKR 6,864-8,736"
https://www.alibaba.com/product-detail/Car-Accessories-Interior-Decoration-Faux-PU_1601800015290.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H8c06ddf5c398489f873cb0f8e838dc0du.jpg_300x300.jpg,Car Accessories Interior Decoration Faux PU Leather Front Car Seat Covers 9pcs Universal for bmw for ford for,"PKR 6,977"
https://www.alibaba.com/product-detail/1200-GSM-Double-Twisted-Towel-Microfiber_1601335800721.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/Hc4a1b11fad4c42aea90bb5249e4950deg.jpg_300x300.jpg,1200 GSM Double Twisted Towel Microfiber Auto Cloth Large Twist Loop Drying Towel For Car,PKR 150-216
https://www.alibaba.com/product-detail/New-Car-Interior-Accessories-Decoration-Car_1600638595164.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H3341c93a60bf462abb9ed5ae1b80ea87n.jpg_300x300.jpg,New Car Interior Accessories Decoration Car Seat Cover Universal Luxury Sport PVC Car Seat Covers,"PKR 18,720"
https://www.alibaba.com/product-detail/0-08mm-Polyimide-Tape-REACH-RoHS_1601737373475.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H0a04dbfe380a4cdcbf639d89092e85bby.jpg_300x300.jpg,"0.08mm Polyimide Tape REACH RoHS For Germany Automotive Electronics & EU Semiconductor Masking, EU Standard One Micron",PKR 185-247
https://www.alibaba.com/product-detail/Car-Interior-Accessories-Luxury-Leather-Car_1601289652299.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H09e6d089af6b47baae1395b27a5488a4J.jpg_300x300.jpg,Car Interior Accessories Luxury Leather Car Seat Covers Set Universal Size Auto Accessories for Mercedes benz bmw audi tesla Kia,"PKR 6,861"
https://www.alibaba.com/product-detail/Auto-Spare-Parts-For-CHEVROLET-AVEO_1601674997204.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H9c2cd5be33cb41a3b467bb1767e0a97cq.jpg_300x300.jpg,Auto Spare Parts For CHEVROLET AVEO Front Axle Auto Wheel Hub Bearing OEM 96535041 95492092,"PKR 1,716-2,184"
https://www.alibaba.com/product-detail/Factory-Custom-Logo-Accessories-Jiiker-JK_62562321955.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H7de9e730b54d42fb8f6b688618df0d6ed.jpg_300x300.jpg,Factory Custom Logo Accessories Jiiker JK-620 Portable Stable Plastic Universal Fit Car Windshield Multi-Function Gravity Holder,PKR 796
https://www.alibaba.com/product-detail/PCT-222-223-Universal-Compact-Electrical_1601716874601.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/Hce011c4900914b6197222aa7f4f3b757W.jpg_300x300.jpg,PCT 222/223 Universal Compact Electrical Cable Push Lever Spring Splice Terminal Block Fast Wire Connectors 2Pin Copper,PKR 19-29
https://www.alibaba.com/product-detail/EKR-Car-Accessories-Interior-Decoration-Seat_1601701120522.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H8f8ec7c2308647758d9c324ebcd68e1eo.jpg_300x300.jpg,EKR Car Accessories Interior Decoration Seat Covers for Five Seats Car Leather Original Universal Car Seat Cover,"PKR 7,526-9,984"
https://www.alibaba.com/product-detail/4G-LTE-GPS-Tracker-with-SOS_10000032436992.html?priceId=61dfb94d013d42f7a2b8d72bff61eed7,./Alibaba_files/H260da50395a543c9a5261baf72d4cbdaB.jpg_300x300.jpg,4G LTE GPS Tracker with SOS Emergency Button Smart Locator Car Roof Device Android Auto Function Remote Control,"PKR 6,209"
